SERVICE,#CONTROLLER_AND_ACTION,TENANT,PC99:DURATION,COUNT
__TOTAL__,__TOTAL__,__TOTAL__,130982336.32789311,135930746
auth_service,__TOTAL__,__TOTAL__,2579012405.87232,288698
auth_service,V1::Oauth::OAuthController::callback,__TOTAL__,4699360983.099617,39513
auth_service,V1::Oauth::OAuthController::callback,twint,16567924066.656328,106
auth_service,V1::Oauth::OAuthController::callback,repsol-sb,10885749408.230562,124
auth_service,V1::Oauth::OAuthController::callback,iberostar,10048786422.998816,41
auth_service,V1::Oauth::OAuthController::callback,laboralkutxa,10048786422.998816,223
auth_service,V1::Oauth::OAuthController::callback,sylvamo,9092487651.219736,70
auth_service,V1::Oauth::OAuthController::refresh_token,__TOTAL__,2380722160.4128237,39158
auth_service,V1::Oauth::OAuthController::refresh_token,alliander,4606304329.968938,144
auth_service,V1::Oauth::OAuthController::refresh_token,atmus,4338045372.24028,75
auth_service,V1::Oauth::OAuthController::refresh_token,laredoute,4338045372.24028,256
auth_service,V1::Oauth::OAuthController::refresh_token,iberostar,4167942622.6180725,125
auth_service,V1::Oauth::OAuthController::refresh_token,telkom-sb,4167942622.6180725,2
auth_service,V1::Oauth::OAuthController::login,__TOTAL__,73335378.24281277,198889
auth_service,V1::Oauth::OAuthController::login,oldnational-sb,393507113.7287747,190
auth_service,V1::Oauth::OAuthController::login,radial,393507113.7287747,79
auth_service,V1::Oauth::OAuthController::login,ridgeview-sb,335322854.37735885,190
auth_service,V1::Oauth::OAuthController::login,pvhmc-sb,211680587.9444647,63
auth_service,V1::Oauth::OAuthController::login,ohsu,195405289.83153483,350
auth_service,V1::Oauth::OAuthController::logout,__TOTAL__,41059564.61605057,11077
auth_service,V1::Oauth::OAuthController::logout,wsl,43598633.49697515,8642
auth_service,V1::Oauth::OAuthController::logout,mdlz-sb,39449543.45671124,127
auth_service,V1::Oauth::OAuthController::logout,skyworksinc,39449543.45671124,37
auth_service,V1::Oauth::OAuthController::logout,uchicago-sb,29020000,1
auth_service,V1::Oauth::OAuthController::logout,ucmedicine,25406570.126436703,69
auth_service,V1::Oauth::OAuthController::idn_internal_login,__TOTAL__,13943142.436256718,61
auth_service,V1::Oauth::OAuthController::idn_internal_login,mdlz-sb,10967976.561750388,32
auth_service,V1::Oauth::OAuthController::idn_internal_login,costco-sb,2988992.7847295594,8
auth_service,V1::Oauth::OAuthController::idn_internal_login,telenet-sb,2988992.7847295594,14
auth_service,V1::Oauth::OAuthController::idn_internal_login,tfs-sb,2988992.7847295594,4
auth_service,V1::Oauth::OAuthController::idn_internal_login,aveva-sb,2840000,1
portal,__TOTAL__,__TOTAL__,761371298.1644677,749091
portal,SessionsController::create,__TOTAL__,1910560274.7897027,7794
portal,SessionsController::create,mbie,4167942622.6180725,67
portal,SessionsController::create,telkom-sb,3847340000,1
portal,SessionsController::create,ne-smoke-canary,3344827773.1812577,60
portal,SessionsController::create,telus,2477884578.9583955,547
portal,SessionsController::create,iberostar,2242075210.5708957,34
portal,SessionsController::update,__TOTAL__,1306541891.274342,301
portal,SessionsController::update,mbie,1988534370.2815807,55
portal,SessionsController::update,ssmhc,1007402465.8027775,77
portal,SessionsController::update,multicare,717031051.3507075,22
portal,SessionsController::update,peacehealth,661901319.1901847,16
portal,SessionsController::update,122gc-tst,648794362.3745362,18
portal,SessionsController::edit,__TOTAL__,1048516738.4607837,305
portal,SessionsController::edit,mbie,1415363708.7177432,54
portal,SessionsController::edit,myfreseniusid,674340000,1
portal,SessionsController::edit,telus,322174227.6004795,36
portal,SessionsController::edit,ssmhc,224770634.04143524,75
portal,SessionsController::edit,122gc-tst,184025403.56483057,15
portal,SessionsController::new,__TOTAL__,702832416.6704965,738496
portal,SessionsController::new,devmcprofile,7444249630.561179,950
portal,SessionsController::new,adventhealthdev,6217922652.830645,1358
portal,SessionsController::new,chubb-sb,5974106452.347155,69
portal,SessionsController::new,franciscandev,5974106452.347155,766
portal,SessionsController::new,globalcu-sb,5739850734.188258,60
portal,SessionsController::resend,__TOTAL__,322174227.6004795,14
portal,SessionsController::resend,122gc-tst,718030000,1
portal,SessionsController::resend,mbie,211680587.9444647,3
portal,SessionsController::resend,multicare,163215238.395337,3
portal,SessionsController::resend,ssmhc,144758351.44717848,2
portal,SessionsController::resend,peacehealth,122650000,1
identity_suite,__TOTAL__,__TOTAL__,156815268.2592586,56088088
identity_suite,NeprofileAdmin::RolesController::create,__TOTAL__,112230540000,97
identity_suite,NeprofileAdmin::RolesController::create,nttdbxo,112230540000,10
identity_suite,NeprofileAdmin::RolesController::create,villagemd-sb,58206600000,1
identity_suite,NeprofileAdmin::RolesController::create,mdlz-sb,55009645542.16129,2
identity_suite,NeprofileAdmin::RolesController::create,stonybrook-sb,46404510000,1
identity_suite,NeprofileAdmin::RolesController::create,bcc-sb,29353860000,1
identity_suite,NeprofileAdmin::RolesController::update,__TOTAL__,49774619713.81131,537
identity_suite,NeprofileAdmin::RolesController::update,villagemd-sb,63276449258.69735,9
identity_suite,NeprofileAdmin::RolesController::update,nttdbxo,52852616013.99102,5
identity_suite,NeprofileAdmin::RolesController::update,stonybrook-sb,28432170000,1
identity_suite,NeprofileAdmin::RolesController::update,ucdavis-prod,28431183177.93855,3
identity_suite,NeprofileAdmin::RolesController::update,southregion-nerm,25725512621.436176,4
identity_suite,NeaccessAdmin::NeaccessRolesController::update,__TOTAL__,21921718875.167465,74
identity_suite,NeaccessAdmin::NeaccessRolesController::update,southregion-nerm,21921718875.167465,7
identity_suite,NeaccessAdmin::NeaccessRolesController::update,deliveroo,21487625432.094795,6
identity_suite,NeaccessAdmin::NeaccessRolesController::update,122gc-tst,11792423004.19281,7
identity_suite,NeaccessAdmin::NeaccessRolesController::update,royalflora,10251792209.322044,12
identity_suite,NeaccessAdmin::NeaccessRolesController::update,uow-preprod,5734930000,1
identity_suite,Admin::ApiKeysController::edit,__TOTAL__,10048786422.998816,1006
identity_suite,Admin::ApiKeysController::edit,telusdev,10048786422.998816,23
identity_suite,Admin::ApiKeysController::edit,usfoods-sb,10048786422.998816,6
identity_suite,Admin::ApiKeysController::edit,legacyhealthdev,6871890194.3891535,9
identity_suite,Admin::ApiKeysController::edit,orlandohealth,4252143483.681058,17
identity_suite,Admin::ApiKeysController::edit,mdlz-sb,3412400051.427339,60
identity_suite,NeprofileAdmin::RolesController::edit,__TOTAL__,3026515237.054012,2420
identity_suite,NeprofileAdmin::RolesController::edit,wellspan,4606304329.968938,11
identity_suite,NeprofileAdmin::RolesController::edit,ucsf-sb,4085409105.3384976,8
identity_suite,NeprofileAdmin::RolesController::edit,nttdbxo,4004509915.133781,34
identity_suite,NeprofileAdmin::RolesController::edit,chs,3668990000,1
identity_suite,NeprofileAdmin::RolesController::edit,adnext-sb,2907839999.8398533,131
tenant_service,__TOTAL__,__TOTAL__,105115016.21164508,78804869
tenant_service,Internal::V1::TenantsController::create,__TOTAL__,9849800553.236475,13
tenant_service,Internal::V1::TenantsController::create,,9849800553.236475,13
tenant_service,Internal::V1::TenantsController::destroy,__TOTAL__,2759440000,1
tenant_service,Internal::V1::TenantsController::destroy,,2759440000,1
tenant_service,Internal::V1::TenantsController::index,__TOTAL__,159983253.47661713,22081917
tenant_service,Internal::V1::TenantsController::index,,159983253.47661713,22081917
tenant_service,Internal::V1::TenantsController::update,__TOTAL__,111615189.04778224,45
tenant_service,Internal::V1::TenantsController::update,,111615189.04778224,45
tenant_service,Internal::V1::TenantsController::show,__TOTAL__,77870340.52281635,17349057
tenant_service,Internal::V1::TenantsController::show,,77870340.52281635,17349057
